id,type,amount,category,note,date
1,支出,999.00,饭,,2026-06-17
2,收入,111.00,不知道,,2026-06-17
3,支出,111.00,饭,,2026-06-17
4,收入,999.00,不知道,,2026-06-17
5,支出,23.50,餐饮,公司楼下吃面,2025-01-03
6,支出,15.00,交通,地铁充值,2025-01-03
7,收入,8500.00,工资,1月工资,2025-01-05
8,支出,2200.00,房租,1月房租,2025-01-05
9,支出,45.00,餐饮,和同事吃火锅AA,2025-01-06
10,支出,12.50,餐饮,早餐豆浆油条,2025-01-07
11,支出,128.00,购物,淘宝买衣服,2025-01-08
12,支出,35.00,交通,打车去客户那,2025-01-09
13,支出,9.90,娱乐,视频月度会员,2025-01-10
14,支出,66.00,餐饮,周末请朋友吃饭,2025-01-11
15,支出,200.00,医疗,感冒去医院,2025-01-13
16,支出,18.00,餐饮,外卖炒饭,2025-01-14
17,支出,3.50,交通,公交,2025-01-15
18,支出,89.00,购物,京东买书,2025-01-16
19,收入,86.50,餐饮,超市买菜,2025-01-17
20,支出,55.00,饮食,麦当劳,2025-01-18
21,支出,1500.00,数码,买机械键盘,2025-01-20
22,支出,42.00,餐饮,点外卖,2025-01-21
23,收入,500.00,兼职,帮朋友修电脑,2025-01-22
24,支出,28.00,餐饮,午饭,2025-01-23
25,支出,15.00,交通,地铁,2025-01-24
26,支出,399.00,购物,买跑鞋,2025-01-25
27,支出,32.00,餐饮,晚饭,2025-01-27
28,支出,8.00,餐饮,早餐,2025-01-28
29,支出,168.00,社交,同事生日送礼,2025-01-29
30,支出,22.50,餐饮,午饭便当,2025-02-01
31,支出,15.00,交通,地铁充值,2025-02-02
32,收入,8500.00,工资,2月工资,2025-02-05
33,支出,2200.00,房租,2月房租,2025-02-05
34,支出,38.00,餐饮,同事聚餐,2025-02-07
35,支出,15.00,交通,打车,2025-02-08
36,支出,99999.99,餐饮,午饭,2025-02-10
37,支出,11.00,餐饮,早餐,2025-02-11
38,支出,800.00,红包,给爸妈发红包,2025-02-12
39,支出,600.00,红包,给侄子压岁钱,2025-02-12
40,收入,200.00,红包,收到姑姑红包,2025-02-12
41,支出,45.00,餐饮,年夜饭食材分摊,2025-02-13
42,支出,120.00,娱乐,KTV,2025-02-14
43,支出,9.90,娱乐,视频月度会员,2025-02-15
44,支出,19.00,餐饮,奶茶,2025-02-17
45,支出,350.00,购物,买春装,2025-02-18
46,支出,25.00,餐饮,煎饼果子+豆浆,2025-02-19
47,支出,15.00,交通,地铁,2025-02-20
48,支出,33.00,餐饮,外卖,2025-02-22
49,支出,15.00,交通,公交充值,2025-02-24
50,支出,75.00,购物,超市日用品,2025-02-25
51,支出,18.50,餐饮,午饭,2025-03-01
52,支出,15.00,交通,地铁充值,2025-03-02
53,收入,9000.00,工资,3月工资（涨薪了）,2025-03-05
54,支出,2200.00,房租,3月房租,2025-03-05
55,支出,56.00,餐饮,请同事喝奶茶,2025-03-06
56,支出,25.00,交通,打车加班回家,2025-03-07
57,支出,199.00,购物,买耳机,2025-03-08
58,支出,12.00,餐饮,早餐,2025-03-10
59,支出,88.00,社交,随份子,2025-03-11
60,支出,9.90,娱乐,视频月度会员,2025-03-12
61,支出,42.00,餐饮,外卖披萨,2025-03-13
62,支出,15.00,交通,地铁,2025-03-14
63,支出,680.00,数码,买鼠标,2025-03-15
64,支出,28.00,餐饮,午饭,2025-03-17
65,支出,15.00,交通,公交,2025-03-18
66,收入,35.00,交通,帮同事代买地铁票他转我的,2025-03-19
67,支出,156.00,购物,淘宝买日用品,2025-03-20
68,支出,39.00,餐饮,晚饭,2025-03-21
69,支出,300.00,医疗,牙科检查,2025-03-24
70,支出,18.00,餐饮,早餐+午饭,2025-03-25
71,支出,888.00,社交,送女朋友礼物,2025-03-26
72,支出,55.00,餐饮,和女朋友吃饭,2025-03-27
73,支出,9.90,娱乐,视频月度会员,2025-04-01
74,支出,20.00,餐饮,午饭,2025-04-02
75,收入,9000.00,工资,4月工资,2025-04-05
76,支出,2200.00,房租,4月房租,2025-04-05
77,支出,65.00,餐饮,同事聚餐,2025-04-06
78,支出,15.00,交通,地铁,2025-04-07
79,支出,459.00,购物,买夏装,2025-04-08
80,支出,33.00,餐饮,外卖,2025-04-09
